sku,source_row_number,reasons,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,possible_unit_scale_warning,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,previously_resolved_detected,identical_source_detected,bulk_safety_status,bulk_safety_issues,related_draft_memory_payloads_json
MICRO60,30265,,Micro 60,Micro 60,Micro 60,Micro 60,1200.000000,750.000000,1000.000000,1200.0,750.0,1000.0,1.2000,0.7500,1.0000,567.000000,567.0000,0.810000,0.810000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
ML-2.35-ARMS,30323,WEIGHT_DIFFERENT | CUBIC_DIFFERENT,2nd Hand Arms for Masterl,2nd Hand Arms for Masterl,2nd Hand Arms for Masterlift 2.35 Saa,2nd Hand Arms for Masterlift 2.35 Saa,1200.000000,800.000000,500.000000,1200.0,800.0,500.0,1.2000,0.8000,0.5000,130.000000,260.0000,0.240000,0.480000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
ML2.35SAA230,30326,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Masterlift 2.35 Saa 230 InGrnd,Masterlift 2.35 Saa 230 InGrnd,Masterlift 2.35 Saa 230 In-Ground Hoist,Masterlift 2.35 Saa 230 In-Ground Hoist,0.000000,0.000000,0.000000,1200.0,800.0,550.0,1.2000,0.8000,0.5500,845.000000,845.0000,2.244000,2.244000,2.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MSNU1772945SP1,30728,,Pallet Spare Parts MSNU1772945,Pallet Spare Parts MSNU1772945,Pallet Spare Parts MSNU1772945,Pallet Spare Parts MSNU1772945,1170.000000,1170.000000,730.000000,1170.0,1170.0,730.0,1.1700,1.1700,0.7300,486.000000,486.0000,0.999000,0.999000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MSNU1892067SP1,30732,,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,1200.000000,800.000000,770.000000,1200.0,800.0,770.0,1.2000,0.8000,0.7700,112.000000,112.0000,0.739000,0.739000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MSNU1892067SP2,30733,,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,Pallet Spare Parts MSNU1892067,2200.000000,1170.000000,550.000000,2200.0,1170.0,550.0,2.2000,1.1700,0.5500,360.000000,360.0000,1.416000,1.416000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
MX35LSMG,30807,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,MagiX 35 LSMG Scissor Lift,MagiX 35 LSMG Scissor Lift,MagiX 35 LSMG Scissor Lift,MagiX 35 LSMG Scissor Lift,0.000000,0.000000,0.000000,2150.0,2150.0,250.0,2.1500,2.1500,0.2500,629.000000,629.0000,1.399000,1.399000,2.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
PBT,32111,DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Plate Brake Tester,Plate Brake Tester,Plate Brake Tester,Plate Brake Tester,1920.000000,720.000000,420.000000,420.0,730.0,1900.0,0.4200,0.7300,1.9000,400.000000,380.0000,0.581000,0.583000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
PLHF3S5000,32317,,Power Lift HF 3S 5000,Power Lift HF 3S 5000,Power Lift HF 3S 5000,Power Lift HF 3S 5000,4300.000000,1200.000000,900.000000,4300.0,1200.0,900.0,4.3000,1.2000,0.9000,1470.000000,1470.0000,4.644000,4.644000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
RAL2002,33045,WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Wheel Adaptors for SMC30CBLED,Wheel Adaptors for SMC30CBLED,Wheel Adaptors for SMC30CBLED,Wheel Adaptors for SMC30CBLED,1260.000000,800.000000,450.000000,1260.0,800.0,450.0,1.2600,0.8000,0.4500,11.916700,286.0000,0.018900,0.454000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
